repo,fix,bic,link
mozilla-unified,1616193,1611617,https://github.com/mozilla-unified/commit/1616193
mozilla-unified,1538762,1498812,https://github.com/mozilla-unified/commit/1538762
mozilla-unified,1715523,1715306,https://github.com/mozilla-unified/commit/1715523
mozilla-unified,1595578,1583700,https://github.com/mozilla-unified/commit/1595578
mozilla-unified,1728594,1713687,https://github.com/mozilla-unified/commit/1728594
mozilla-unified,1565301,1243633,https://github.com/mozilla-unified/commit/1565301
mozilla-unified,1587763,1586713,https://github.com/mozilla-unified/commit/1587763
mozilla-unified,1637911,1632429,https://github.com/mozilla-unified/commit/1637911
mozilla-unified,1685009,1519285,https://github.com/mozilla-unified/commit/1685009
mozilla-unified,1661173,1659630,https://github.com/mozilla-unified/commit/1661173
mozilla-unified,1625197,1560462,https://github.com/mozilla-unified/commit/1625197
mozilla-unified,1660880,1659906,https://github.com/mozilla-unified/commit/1660880
mozilla-unified,1575620,1550801,https://github.com/mozilla-unified/commit/1575620
mozilla-unified,1685463,1681043,https://github.com/mozilla-unified/commit/1685463
mozilla-unified,1606392,1553384,https://github.com/mozilla-unified/commit/1606392
mozilla-unified,1685872,1685810,https://github.com/mozilla-unified/commit/1685872
mozilla-unified,1719685,1712778,https://github.com/mozilla-unified/commit/1719685
mozilla-unified,1779975,1772050,https://github.com/mozilla-unified/commit/1779975
mozilla-unified,1656211,1653443,https://github.com/mozilla-unified/commit/1656211
mozilla-unified,1564216,1560044,https://github.com/mozilla-unified/commit/1564216
mozilla-unified,1565512,1465616,https://github.com/mozilla-unified/commit/1565512
mozilla-unified,1585688,1530251,https://github.com/mozilla-unified/commit/1585688
mozilla-unified,1715724,1686071,https://github.com/mozilla-unified/commit/1715724
mozilla-unified,1714703,1704005,https://github.com/mozilla-unified/commit/1714703
mozilla-unified,1630208,1595979,https://github.com/mozilla-unified/commit/1630208
mozilla-unified,1806451,1642138,https://github.com/mozilla-unified/commit/1806451
mozilla-unified,1604462,1577217,https://github.com/mozilla-unified/commit/1604462
mozilla-unified,1787246,1786597,https://github.com/mozilla-unified/commit/1787246
mozilla-unified,1700595,1610570,https://github.com/mozilla-unified/commit/1700595
mozilla-unified,1563622,1421380,https://github.com/mozilla-unified/commit/1563622
mozilla-unified,1757694,1756533,https://github.com/mozilla-unified/commit/1757694
mozilla-unified,1708494,1686741,https://github.com/mozilla-unified/commit/1708494
mozilla-unified,1551183,1525762,https://github.com/mozilla-unified/commit/1551183
mozilla-unified,1699199,1677566,https://github.com/mozilla-unified/commit/1699199
mozilla-unified,1725066,1724803,https://github.com/mozilla-unified/commit/1725066
mozilla-unified,1610790,1608645,https://github.com/mozilla-unified/commit/1610790
mozilla-unified,1652425,1470369,https://github.com/mozilla-unified/commit/1652425
mozilla-unified,1658113,1652550,https://github.com/mozilla-unified/commit/1658113
mozilla-unified,1768742,1768689,https://github.com/mozilla-unified/commit/1768742
mozilla-unified,1624711,1620077,https://github.com/mozilla-unified/commit/1624711
mozilla-unified,1651661,1294719,https://github.com/mozilla-unified/commit/1651661
